,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
222,0F9BbXn7zjDkM6SRJvkBOd,https://p.scdn.co/mp3-preview/73c13b948bc59e1b830dfaca2ace5dc1652b94d5?cid=5753b92e6a084808bea42ea533c53400,0.572,0.673,6,-5.565,1,0.042,0.0596,0.0,0.0887,0.573,106.024,country
223,1WzAeadSKJhqykZFbJNmQv,,0.744,0.637,6,-4.483,1,0.0241,0.337,0.000222,0.0696,0.785,100.511,country
224,37JPdGgYcQAJSElj5boJx8,https://p.scdn.co/mp3-preview/1426452c654aecc4c7e9347239ea24c13b754654?cid=5753b92e6a084808bea42ea533c53400,0.64,0.852,2,-6.406,1,0.028,0.0907,0.0,0.151,0.903,139.949,country
225,4LlNoNZflek4hZyZigCxpW,https://p.scdn.co/mp3-preview/7ea7e58122d45ce70f26ed953e61075ecf7b0a28?cid=5753b92e6a084808bea42ea533c53400,0.596,0.706,2,-5.562,1,0.0262,0.351,0.0,0.36,0.704,146.088,country
226,0e05wFNr6zg1ULcp4NKs1p,,0.687,0.648,4,-9.137,1,0.027,0.314,1.37e-06,0.289,0.6,121.341,country
227,6iy4PoAuZBMvtrlDX4VxC7,,0.708,0.524,5,-12.644,1,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,country
228,0v6nJ15ROHRtYWcpLvJCZE,https://p.scdn.co/mp3-preview/6be012d77e84a5ad63d346f996ff113098549d08?cid=5753b92e6a084808bea42ea533c53400,0.715,0.775,0,-6.613,1,0.0433,0.354,0.0,0.144,0.803,106.013,country
229,7uPReljrrTaqzDCcx4JHmi,,0.494,0.861,5,-5.236,1,0.0365,0.257,0.0,0.103,0.668,172.052,country
230,5s7m2xNZWgz5FqVSIvJcGA,https://p.scdn.co/mp3-preview/ae08168dd09c2b780c4e11e6b5e8f22447032c6c?cid=5753b92e6a084808bea42ea533c53400,0.7,0.896,2,-2.276,1,0.191,0.108,0.0,0.453,0.817,102.065,country
231,1zmvaeDthBdtthb4RgYr9a,https://p.scdn.co/mp3-preview/8bfb3170c89abc1339324323c541e2ea6d25ed07?cid=5753b92e6a084808bea42ea533c53400,0.612,0.663,1,-9.314,1,0.035,0.00931,0.0152,0.0637,0.558,100.178,country
232,0ElpjZyX8YBiXuYcDC1Ci9,,0.58,0.816,4,-5.165,1,0.0726,0.132,0.0,0.0776,0.814,89.938,country
233,4qkshp4FWe0msInDWTbBlR,https://p.scdn.co/mp3-preview/5290614babdccd8c3469aac89f8e477fda7f8e94?cid=5753b92e6a084808bea42ea533c53400,0.648,0.766,9,-8.514,1,0.0326,0.232,1.54e-05,0.121,0.971,128.798,country
234,63u5QGp9dKXAoYTVKUKBYn,,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001,country
235,5OusUgzHz6Ulb3GZT7WUo5,https://p.scdn.co/mp3-preview/6cb8aa999d87c23944a976d58729d6be17442321?cid=5753b92e6a084808bea42ea533c53400,0.625,0.848,2,-4.008,1,0.0314,0.105,0.0,0.23,0.716,137.993,country
236,65B1tEOv5W294uCKbmEcFV,,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,country
237,3y4LxiYMgDl4RethdzpmNe,https://p.scdn.co/mp3-preview/0b2cda61cb73c04084ff8f669dac6601480b0d24?cid=5753b92e6a084808bea42ea533c53400,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,country
238,7s2NbKcFIJuEQumhvtHTAD,https://p.scdn.co/mp3-preview/e8ccaeb124051ced97882f0f1740ca19a827f567?cid=5753b92e6a084808bea42ea533c53400,0.533,0.585,4,-9.789,1,0.0337,0.199,0.0,0.11,0.472,83.403,country
239,3I7krC8kr0gFR7P6vInR1I,,0.553,0.747,9,-5.432,1,0.0279,0.106,0.0,0.154,0.521,90.012,country
240,4Pn0JlCUusD2QHjADuOzuV,,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,country
241,6IC6VhpV7D8T1t037Atqpu,,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,country
242,7C04W8ooqQD3vWKUSzeYnz,,0.325,0.143,2,-12.218,1,0.033,0.469,0.000221,0.101,0.179,110.823,country
243,0VeI4Zyirc6yuJ4P7fudjE,https://p.scdn.co/mp3-preview/9633bbf336168b56cb20d2c07322e68e09f041ee?cid=5753b92e6a084808bea42ea533c53400,0.532,0.815,8,-5.834,1,0.0392,0.0301,0.0,0.0721,0.546,149.728,country
