,Unnamed: 0,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
99,99,6ET5yCqDaaPJP6w7rvy1uM,https://p.scdn.co/mp3-preview/071477261d75e96a0d8f2d3e504d15bea609c921?cid=5753b92e6a084808bea42ea533c53400,0.664,0.59,11.0,-6.141,1.0,0.0874,0.857,3.05e-05,0.6679999999999999,0.88,73.926,blues
102,102,1upQiytDIEZfl9ItruoXuC,https://p.scdn.co/mp3-preview/a4db8e757fef306c7a2cdb88cec1e9f6631d1e7d?cid=5753b92e6a084808bea42ea533c53400,0.204,0.0331,2.0,-24.044,0.0,0.0487,0.927,0.825,0.0954,0.0547,116.2,classical
103,103,2Y95aUjHiOtgL8A6t52Ynl,https://p.scdn.co/mp3-preview/0240ed6102c8985c9a5daf75eaf81db31ac8042e?cid=5753b92e6a084808bea42ea533c53400,0.244,0.0021,1.0,-41.044,0.0,0.0417,0.995,0.86,0.161,0.187,64.36399999999999,classical
104,104,3GecLjGMqzjmgkvy2v41Wf,https://p.scdn.co/mp3-preview/6a833459cb6de6742a5cc2c75d22fbd9e3808d4f?cid=5753b92e6a084808bea42ea533c53400,0.341,0.0142,2.0,-28.293000000000003,1.0,0.0388,0.993,0.9209999999999999,0.113,0.0384,76.382,classical
106,106,6VDHdry8ytOL2WWbePDxSD,https://p.scdn.co/mp3-preview/79737f02072ee64066720782be9e1cf25138dbcf?cid=5753b92e6a084808bea42ea533c53400,0.11599999999999999,0.0694,0.0,-23.624000000000002,1.0,0.0497,0.9690000000000001,0.644,0.109,0.0377,169.78900000000002,classical
107,107,7uf3aFC1msj0t5cYImgOWy,https://p.scdn.co/mp3-preview/81b91962e8426e8a433d854b6c083a1205bbbad1?cid=5753b92e6a084808bea42ea533c53400,0.24100000000000002,0.122,7.0,-22.410999999999998,1.0,0.0497,0.925,0.66,0.126,0.187,66.325,classical
109,109,6iLzFJhs4ATwJn7P1utZIJ,https://p.scdn.co/mp3-preview/88eeb34c8ff3286be682569d7404abceaf73dad0?cid=5753b92e6a084808bea42ea533c53400,0.273,0.102,0.0,-16.843,0.0,0.0494,0.903,0.721,0.268,0.0583,120.37799999999999,classical
113,113,5U7T2widXE5MqoQ6dmi3O9,https://p.scdn.co/mp3-preview/7fc7b4eeacbff89ea4ee91498f9f8d32fb62eb7a?cid=5753b92e6a084808bea42ea533c53400,0.244,0.0325,8.0,-23.379,1.0,0.0457,0.992,0.879,0.10800000000000001,0.0406,74.079,classical
114,114,4hiOuGRriUc0YketN1vuOk,https://p.scdn.co/mp3-preview/37fb86a213270759d02c018d827bf57bb2a285b9?cid=5753b92e6a084808bea42ea533c53400,0.155,0.0346,10.0,-29.305,1.0,0.0406,0.956,0.9490000000000001,0.0986,0.0352,76.395,classical
118,118,3sAYxq1986j3ydqLv6jwUJ,https://p.scdn.co/mp3-preview/b24df3ed3675521c7fdefbcdd4c936e1af35b5b2?cid=5753b92e6a084808bea42ea533c53400,0.0,0.0842,9.0,-19.397000000000002,1.0,0.0,0.755,0.889,0.262,0.0,0.0,classical
121,121,7FTzC8srNaQ0fTNOCyPeib,https://p.scdn.co/mp3-preview/a7011c5f50abbd080e6657ce10e96173e5b950a0?cid=5753b92e6a084808bea42ea533c53400,0.366,0.0433,4.0,-30.56,1.0,0.0416,0.99,0.903,0.085,0.35600000000000004,88.45200000000001,classical
126,126,4QCewnAXjBDejsS8713Bt9,https://p.scdn.co/mp3-preview/219599642c4d3e70433e11fa89f73f96a507c536?cid=5753b92e6a084808bea42ea533c53400,0.222,0.0119,8.0,-32.855,1.0,0.0357,0.9940000000000001,0.925,0.102,0.14,72.774,classical
128,128,5zcVQxIiKnEZ2fhgYQrnu4,https://p.scdn.co/mp3-preview/3cbc6afeeb94a7a7ddab6137132ee29afb933cea?cid=5753b92e6a084808bea42ea533c53400,0.191,0.0464,0.0,-16.635,0.0,0.0333,0.937,0.9470000000000001,0.10300000000000001,0.0748,83.75399999999999,classical
131,131,17i5jLpzndlQhbS4SrTd0B,https://p.scdn.co/mp3-preview/36fd5830124980753e8d9ff555b8708e05790f27?cid=5753b92e6a084808bea42ea533c53400,0.275,0.157,7.0,-18.752,1.0,0.0636,0.89,0.8420000000000001,0.18600000000000003,0.304,73.289,classical
133,133,7wvy3ROg2vEJyWgjDvMD8m,https://p.scdn.co/mp3-preview/2b752cf37565ae47cccaa0bdbcc17091d44a9859?cid=5753b92e6a084808bea42ea533c53400,0.0874,0.0474,4.0,-23.13,0.0,0.0532,0.924,0.768,0.149,0.0331,72.393,classical
